date,name,cik,variable,value
1979-06-30,VF Corporation,103379.0,added_ticker,VFC
1979-12-31,Walgreens Boots Alliance,1618921.0,added_ticker,WBA
1980-03-31,American International Group,5272.0,added_ticker,AIG
1980-12-31,FedEx Corporation,1048911.0,added_ticker,FDX
1980-12-31,PACCAR Inc.,75362.0,added_ticker,PCAR
1981-03-31,Automatic Data Processing,8670.0,added_ticker,ADP
1981-06-30,Masco Corp.,62996.0,added_ticker,MAS
1981-06-30,Grainger (W.W.) Inc.,277135.0,added_ticker,GWW
1981-07-29,Archer-Daniels-Midland Co,7084.0,added_ticker,ADM
1982-08-31,Walmart,104169.0,added_ticker,WMT
1982-09-30,Snap-on,91440.0,added_ticker,SNA
1982-09-30,Stanley Black & Decker,93556.0,added_ticker,SWK
1982-10-31,Brown-Forman Corp.,14693.0,added_ticker,BF.B
1982-11-30,Apple Inc.,320193.0,added_ticker,AAPL
1982-12-31,Occidental Petroleum,797468.0,added_ticker,OXY
1983-08-31,Conagra Brands,23217.0,added_ticker,CAG
1983-09-30,L Brands Inc.,701985.0,added_ticker,LB
1983-11-30,Verizon Communications,732712.0,added_ticker,VZ
1984-02-29,Lowe's Cos.,60667.0,added_ticker,LOW
1984-04-30,PulteGroup,822416.0,added_ticker,PHM
1984-05-31,Hess Corporation,4447.0,added_ticker,HES
1984-07-31,Lockheed Martin Corp.,936468.0,added_ticker,LMT
1984-09-30,Hasbro Inc.,46080.0,added_ticker,HAS
1984-10-31,Ball Corp,9389.0,added_ticker,BLL
1985-01-01,AT&T Inc.,732717.0,added_ticker,T
1985-04-30,Nucor Corp.,73309.0,added_ticker,NUE
1985-04-30,Air Products & Chemicals Inc,2969.0,added_ticker,APD
1985-05-31,PerkinElmer,31791.0,added_ticker,PKI
1985-06-30,Northrop Grumman,1133421.0,added_ticker,NOC
1985-07-31,CenterPoint Energy,1130310.0,added_ticker,CNP
1985-09-30,TJX Companies Inc.,109198.0,added_ticker,TJX
1985-10-31,Dover Corporation,29905.0,added_ticker,DOV
1985-11-30,Parker-Hannifin,76334.0,added_ticker,PH
1986-02-28,Illinois Tool Works,49826.0,added_ticker,ITW
1986-08-31,Gap Inc.,39911.0,added_ticker,GPS
1986-10-31,Medtronic plc,1613103.0,added_ticker,MDT
1986-12-31,Sysco Corp.,96021.0,added_ticker,SYY
1987-08-31,Marsh & McLennan,62709.0,added_ticker,MMC
1987-12-31,Avery Dennison Corp,8818.0,added_ticker,AVY
1988-03-31,Home Depot,354950.0,added_ticker,HD
1988-04-30,PNC Financial Services,713676.0,added_ticker,PNC
1988-05-31,Citigroup Inc.,831001.0,added_ticker,C
1988-11-30,"Nike, Inc.",320187.0,added_ticker,NKE
1989-01-31,Ecolab Inc.,31462.0,added_ticker,ECL
1989-04-30,Newell Brands,814453.0,added_ticker,NWL
1989-04-30,Globe Life Inc.,320335.0,added_ticker,GL
1989-08-31,Oracle Corp.,1341439.0,added_ticker,ORCL
1989-12-01,Autodesk Inc.,769397.0,added_ticker,ADSK
1991-05-01,Marathon Oil Corp.,101778.0,added_ticker,MRO
1991-09-19,Ameren Corp,1002910.0,added_ticker,AEE
1992-01-02,Amgen Inc.,318154.0,added_ticker,AMGN
1992-07-01,Linde plc,1707925.0,added_ticker,LIN
1992-10-01,Interpublic Group,51644.0,added_ticker,IPG
1993-10-01,Costco Wholesale Corp.,909832.0,added_ticker,COST
1993-12-01,Cisco Systems,858877.0,added_ticker,CSCO
1994-01-01,Eastman Chemical,915389.0,added_ticker,EMN
1994-03-01,KeyCorp,91576.0,added_ticker,KEY
1994-03-01,Unum Group,5513.0,added_ticker,UNM
1994-06-01,Microsoft Corp.,789019.0,added_ticker,MSFT
1994-07-01,United Health Group Inc.,731766.0,added_ticker,UNH
1994-07-01,Southwest Airlines,92380.0,added_ticker,LUV
1994-09-27,Micron Technology,723125.0,added_ticker,MU
1995-02-24,Boston Scientific,885725.0,added_ticker,BSX
1995-03-16,Applied Materials Inc.,6951.0,added_ticker,AMAT
1995-03-31,The Bank of New York Mellon,1390777.0,added_ticker,BK
1995-07-13,Allstate Corp,899051.0,added_ticker,ALL
1995-12-01,Comerica Inc.,28412.0,added_ticker,CMA
1996-04-23,Aon plc,315293.0,added_ticker,AON
1997-01-02,AutoZone Inc,866787.0,added_ticker,AZO
1997-05-05,Adobe Inc.,796343.0,added_ticker,ADBE
1997-05-27,Cardinal Health Inc.,721371.0,added_ticker,CAH
1997-06-02,Charles Schwab Corporation,316709.0,added_ticker,SCHW
1997-06-19,Equifax Inc.,33185.0,added_ticker,EFX
1997-07-28,Apache Corporation,6769.0,added_ticker,APA
1997-08-04,Progressive Corp.,80661.0,added_ticker,PGR
1997-10-06,Yum! Brands Inc,1041061.0,added_ticker,YUM
1997-12-04,Truist Financial,92230.0,added_ticker,TFC
1997-12-18,Cincinnati Financial,20286.0,added_ticker,CINF
1998-07-01,Capital One Financial,927628.0,added_ticker,COF
1998-08-28,Regions Financial Corp.,1281761.0,added_ticker,RF
1998-10-02,AES Corp,874761.0,added_ticker,AES
1998-12-22,Carnival Corp.,815097.0,added_ticker,CCL
